2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000777e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000001166e-02,1.000000000000000056e-01,1.000000000000000056e-01
8.000000000000001554e-02,5.000000000000000000e-01,2.999999999999999889e-01
1.000000000000000194e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.200000000000000233e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000133e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000033e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000211e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000000e+00,1.000000000000000000e+00
